Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.153791174064301,0.0974672992453615,0.00588414829503324,0,0,0,96.7490415336591,2.86555455664308,-0.00219519846779945,-0.000628989052193264,3.46674166060761,-0.000686654400421217,1.23187799751044,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/base_link.STL,,Chassis_Assem-1/welded_underbody_frame-1;Chassis_Assem-1/Correected Com Plate-3;Chassis_Assem-1/Top Plate Antenna Mount-2;Chassis_Assem-1/Monopod Stand in-1;900 Mhz-1;double antenna mount LCOM-2;double antenna mount LCOM-1;900 Mhz-2;camera_mount-2/top_panel_camera_mount-1;pixhawk_mount_assembly-1/pixhawk_mount-1;Chassis_Assem-1/electronics_interface_panel-1;Chassis_Assem-1/electronics_interface_panel_AccuTrex-1;Chassis_Assem-1/electronics_interface_panel_WV-1;camera_mount-1/top_panel_camera_mount-1;camera_mount-3/top_panel_camera_mount-1;Noctua nf-a8-pwm fan 80x80x25 2016-2;Chassis_Assem-1/Bogie Bearing Brace-1;Bearing_Housing_Assem-1/Bearing_Housings-1;Chassis_Assem-1/Bogie Bearing Brace-2;Chassis_Assem-1/Sheet_Metal_Body-1;Noctua nf-a8-pwm fan 80x80x25 2016-1;Chassis_Assem-1/electronics_interface_panel-4;Bearing_Housing_Assem-7/Bearing_Housings-1;Bearing_Housing_Assem-3/Bearing_Housings-1;E-Stop_Assembled - Simp-1;LCD Assem-1/LCD 20x4 Display-1;Chassis_Assem-1/electronics_interface_panel_rear_LCD-1;12V Battery Bracket Std Holes-2;Battery_Mount_Greenworks_Std_Holes-2;CAMBIUM NETWORKS PTP450-1;40V_battery_plate-1;Carlas-Holder-Thing-1;Battery_Mount_Greenworks_Std_Holes-1;12V Battery Bracket Std Holes-1;Chassis_Assem-1/Top Plate Antenna Mount-3;camera_mount-5/top_panel_camera_mount-1;camera_mount-4/top_panel_camera_mount-1;flanged bogie assem driver side-1/Titanium Shaft-1;flanged bogie assem driver side-3/Titanium Shaft-1,Assembly_Coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_Boguie,-0.00576651386114407,0.175045595441227,0.0128648542147638,0,0,0,2.32950192493889,0.00551591290072658,-0.00171704236488451,3.14127956266204E-06,0.0575648126028138,-9.65204017498361E-05,0.0611920040825802,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/Left_Boguie.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/Left_Boguie.STL,,flanged bogie assem driver side-1/Bogie Tubing for perpendicular flange-1;flanged bogie assem driver side-1/Bogie Shaft Insert-1;flanged bogie assem driver side-1/motor mount flange plate-2;flanged bogie assem driver side-1/mounted motor assem-2/offset motor mount outer-1;flanged bogie assem driver side-1/mounted motor assem-2/offset motor mount-1;flanged bogie assem driver side-1/motor mount flange plate-1;flanged bogie assem driver side-1/mounted motor assem-1/offset motor mount-1;flanged bogie assem driver side-1/mounted motor assem-1/offset motor mount outer-1;flanged bogie assem driver side-1/mounted motor assem-1/RMD-X6 S2 V2 Motor Housing-1;flanged bogie assem driver side-1/mounted motor assem-2/RMD-X6 S2 V2 Motor Housing-1;flanged bogie assem driver side-1/Titanium Shaft-1,Left_Bougie_Coordinate,Left_Bougie_Axis,Left_Boguie_Joint,continuous,-0.03629,0.03129,-0.39897,-3.1416,0,0,base_link,0,0,1,,,,,,,,,,,,
LB_Wheel,-2.96058691590106E-07,-9.79216909779979E-08,0.000350214534292459,0,0,0,1.24926679693879,0.00934465879503419,4.46259865221882E-09,8.23431338054817E-09,0.00934464514992829,1.54213553263347E-08,0.0143303307026045,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/LB_Wheel.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/LB_Wheel.STL,,flanged bogie assem driver side-1/Composite Wheel Assembly v2-2/Composite Wheel Design Rounded_Rounded_Interior-1;flanged bogie assem driver side-1/Composite Wheel Assembly v2-2/Connector Plates-1;flanged bogie assem driver side-1/Composite Wheel Assembly v2-2/90576A115_Medium-Strength Steel Nylon-Insert Locknut-1;flanged bogie assem driver side-1/Composite Wheel Assembly v2-2/91294A240_Black-Oxide Alloy Steel Hex Drive Flat Head Screw-1;flanged bogie assem driver side-1/Composite Wheel Assembly v2-2/92095A479_Button Head Hex Drive Screw-1;flanged bogie assem driver side-1/Composite Wheel Assembly v2-2/91290A320_Alloy Steel Socket Head Screw-6;flanged bogie assem driver side-1/Composite Wheel Assembly v2-2/91290A320_Alloy Steel Socket Head Screw-3;flanged bogie assem driver side-1/Composite Wheel Assembly v2-2/91290A320_Alloy Steel Socket Head Screw-4;flanged bogie assem driver side-1/Composite Wheel Assembly v2-2/92095A479_Button Head Hex Drive Screw-3;flanged bogie assem driver side-1/Composite Wheel Assembly v2-2/91290A320_Alloy Steel Socket Head Screw-1;flanged bogie assem driver side-1/Composite Wheel Assembly v2-2/91290A320_Alloy Steel Socket Head Screw-5;flanged bogie assem driver side-1/Composite Wheel Assembly v2-2/92095A479_Button Head Hex Drive Screw-2;flanged bogie assem driver side-1/Composite Wheel Assembly v2-2/91290A320_Alloy Steel Socket Head Screw-2;flanged bogie assem driver side-1/Composite Wheel Assembly v2-2/Connector Plates Motor-1,LB_Wheel_Coordinate,LB_Wheel_Axis,LB_Wheel_Joint,continuous,-0.441258446912644,0.251207226592391,0.0993465830020424,0,0,0,Left_Boguie,0,0,1,,,,,,,,,,,,
LF_Wheel,-2.75870797983302E-07,3.58294659608127E-07,-0.00056115676675389,0,0,0,1.29398862284058,0.00935013342837077,4.31754356167998E-09,8.20757418511741E-09,0.00935011946388382,1.55141693328379E-08,0.0143401889474166,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/LF_Wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/LF_Wheel.STL,,flanged bogie assem driver side-1/Composite Wheel Assembly v2-1/92095A479_Button Head Hex Drive Screw-2;flanged bogie assem driver side-1/Composite Wheel Assembly v2-1/91290A320_Alloy Steel Socket Head Screw-2;flanged bogie assem driver side-1/Composite Wheel Assembly v2-1/91290A320_Alloy Steel Socket Head Screw-6;flanged bogie assem driver side-1/Composite Wheel Assembly v2-1/92095A479_Button Head Hex Drive Screw-1;flanged bogie assem driver side-1/Composite Wheel Assembly v2-1/91290A320_Alloy Steel Socket Head Screw-3;flanged bogie assem driver side-1/Composite Wheel Assembly v2-1/91290A320_Alloy Steel Socket Head Screw-4;flanged bogie assem driver side-1/mounted motor assem-2/RMD-X6 S2 V2 Motor Shaft-1;flanged bogie assem driver side-1/Composite Wheel Assembly v2-1/91290A320_Alloy Steel Socket Head Screw-5;flanged bogie assem driver side-1/Composite Wheel Assembly v2-1/91290A320_Alloy Steel Socket Head Screw-1;flanged bogie assem driver side-1/Composite Wheel Assembly v2-1/92095A479_Button Head Hex Drive Screw-3;flanged bogie assem driver side-1/Composite Wheel Assembly v2-1/90576A115_Medium-Strength Steel Nylon-Insert Locknut-1;flanged bogie assem driver side-1/Composite Wheel Assembly v2-1/91294A240_Black-Oxide Alloy Steel Hex Drive Flat Head Screw-1;flanged bogie assem driver side-1/Composite Wheel Assembly v2-1/Connector Plates-1;flanged bogie assem driver side-1/Composite Wheel Assembly v2-1/Composite Wheel Design Rounded_Rounded_Interior-1;flanged bogie assem driver side-1/Composite Wheel Assembly v2-1/Connector Plates Motor-1,LF_Wheel_Coordinate,LF_Wheel_Axis,LF_Wheel_Joint,continuous,0.423764068028638,0.279710747580116,0.0993465830020371,0,0,0,Left_Boguie,0,0,1,,,,,,,,,,,,
Right Bougie,0.128012853511652,-0.15204295317915,0.00267532384375324,0,0,0,1.78119341351116,0.00523071840753533,0.00171364141000337,2.13072570525521E-06,0.0572765021055517,9.47681220728325E-05,0.0608394313052524,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/Right Bougie.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/Right Bougie.STL,,flanged bogie assem driver side-3/Bogie Tubing for perpendicular flange-1;flanged bogie assem driver side-3/Bogie Shaft Insert-1;flanged bogie assem driver side-3/Titanium Shaft-1;flanged bogie assem driver side-3/motor mount flange plate-1;flanged bogie assem driver side-3/mounted motor assem-1/offset motor mount outer-1;flanged bogie assem driver side-3/mounted motor assem-1/offset motor mount-1;flanged bogie assem driver side-3/mounted motor assem-1/RMD-X6 S2 V2 Motor Housing-1;flanged bogie assem driver side-3/mounted motor assem-2/offset motor mount-1;flanged bogie assem driver side-3/mounted motor assem-2/offset motor mount outer-1,Right_Bougie_Coordinate,Right_Bougie_Axis,Right_Bougie_Joint,continuous,-0.03629,0.03129,0.39897,0,0,0,base_link,0,0,1,,,,,,,,,,,,
RB_Wheel,-2.57026749522771E-07,7.04241307381004E-07,0.000350213236401165,0,0,0,1.24926675341187,0.00934464565043098,3.22204638619879E-09,-9.44781297796861E-09,0.00934463075970712,-1.47196836065926E-08,0.0143303115946363,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/RB_Wheel.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/RB_Wheel.STL,,flanged bogie assem driver side-3/Composite Wheel Assembly v2-1/Composite Wheel Design Rounded_Rounded_Interior-1;flanged bogie assem driver side-3/Composite Wheel Assembly v2-1/Connector Plates-1;flanged bogie assem driver side-3/Composite Wheel Assembly v2-1/91294A240_Black-Oxide Alloy Steel Hex Drive Flat Head Screw-1;flanged bogie assem driver side-3/Composite Wheel Assembly v2-1/90576A115_Medium-Strength Steel Nylon-Insert Locknut-1;flanged bogie assem driver side-3/Composite Wheel Assembly v2-1/92095A479_Button Head Hex Drive Screw-3;flanged bogie assem driver side-3/Composite Wheel Assembly v2-1/91290A320_Alloy Steel Socket Head Screw-4;flanged bogie assem driver side-3/Composite Wheel Assembly v2-1/91290A320_Alloy Steel Socket Head Screw-3;flanged bogie assem driver side-3/Composite Wheel Assembly v2-1/92095A479_Button Head Hex Drive Screw-1;flanged bogie assem driver side-3/Composite Wheel Assembly v2-1/91290A320_Alloy Steel Socket Head Screw-6;flanged bogie assem driver side-3/Composite Wheel Assembly v2-1/91290A320_Alloy Steel Socket Head Screw-2;flanged bogie assem driver side-3/Composite Wheel Assembly v2-1/92095A479_Button Head Hex Drive Screw-2;flanged bogie assem driver side-3/Composite Wheel Assembly v2-1/91290A320_Alloy Steel Socket Head Screw-5;flanged bogie assem driver side-3/Composite Wheel Assembly v2-1/91290A320_Alloy Steel Socket Head Screw-1;flanged bogie assem driver side-3/Composite Wheel Assembly v2-1/Connector Plates Motor-1,RB_Wheel_Coordinate,RB_Bougie_Axis,RB_Wheel_Joint,continuous,-0.441258446912646,-0.251207226592402,0.099346583002037,0,0,0,Right Bougie,0,0,1,,,,,,,,,,,,
RF_Wheel,9.58804463602192E-08,-7.09435375112477E-07,0.000349923064460689,0,0,0,1.24925985752233,0.00934464583882525,3.36836573324745E-09,-9.18708871377895E-09,0.00934463135800159,-1.51459024116129E-08,0.0143303121386094,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/RF_Wheel.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/RF_Wheel.STL,,flanged bogie assem driver side-3/Composite Wheel Assembly v2-2/Composite Wheel Design Rounded_Rounded_Interior-1;flanged bogie assem driver side-3/Composite Wheel Assembly v2-2/Connector Plates-1;flanged bogie assem driver side-3/Composite Wheel Assembly v2-2/92095A479_Button Head Hex Drive Screw-1;flanged bogie assem driver side-3/Composite Wheel Assembly v2-2/91290A320_Alloy Steel Socket Head Screw-3;flanged bogie assem driver side-3/Composite Wheel Assembly v2-2/91294A240_Black-Oxide Alloy Steel Hex Drive Flat Head Screw-1;flanged bogie assem driver side-3/Composite Wheel Assembly v2-2/91290A320_Alloy Steel Socket Head Screw-4;flanged bogie assem driver side-3/Composite Wheel Assembly v2-2/90576A115_Medium-Strength Steel Nylon-Insert Locknut-1;flanged bogie assem driver side-3/Composite Wheel Assembly v2-2/92095A479_Button Head Hex Drive Screw-3;flanged bogie assem driver side-3/Composite Wheel Assembly v2-2/91290A320_Alloy Steel Socket Head Screw-1;flanged bogie assem driver side-3/Composite Wheel Assembly v2-2/91290A320_Alloy Steel Socket Head Screw-5;flanged bogie assem driver side-3/Composite Wheel Assembly v2-2/92095A479_Button Head Hex Drive Screw-2;flanged bogie assem driver side-3/Composite Wheel Assembly v2-2/91290A320_Alloy Steel Socket Head Screw-2;flanged bogie assem driver side-3/Composite Wheel Assembly v2-2/91290A320_Alloy Steel Socket Head Screw-6;flanged bogie assem driver side-3/Composite Wheel Assembly v2-2/Connector Plates Motor-1,RF_Wheel_Coordinate,RF_Wheel_Axis,RF_Wheel_Joint,continuous,0.423764068028621,-0.279710747580124,0.0993465830020422,0,0,0,Right Bougie,0,0,1,,,,,,,,,,,,
Differential,-2.44358699941216E-12,0.0080786028200816,-0.0177935814197831,0,0,0,0.786370258163125,0.000465826776708666,9.9362969665708E-14,-5.18848676681452E-15,0.0223131373919585,-1.56167687365088E-08,0.0223061367769684,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/Differential.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/Differential.STL,,Aluminum_Dif_Assembly-1/Differential_Bar-2;Aluminum_Dif_Assembly-1/9684T1_FLANGE-MOUNT SHAFT COLLAR-1;Aluminum_Dif_Assembly-1/89055K369_High-Strength Grade 5 Titanium Rod-1,Differential_Coordinate,Differential_Axis,Differential_Joint,continuous,-0.45433,0.033,0,3.1416,-1.5708,0,base_link,0,0,-1,,,,,,,,,,,,
Front_Camera,-1.06281777656481E-07,0.000966339550162953,-0.00671854201515454,0,0,0,0.0470288707068895,4.39178954043001E-06,-2.6587461829647E-12,3.09228404230734E-11,3.29793928552999E-05,8.44203479212317E-08,3.37748134686877E-05,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/Front_Camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/Front_Camera.STL,,camera_mount-2/LogitechC920Montaj-1/Logitech_C920-1,Front_Camera_Coordinate,,Front_Camera_Joint,fixed,-0.0040292,0.1997,0,0,1.5708,0,base_link,0,0,0,,,,,,,,,,,,
Left_Camera,-1.06281777434436E-07,0.000966339550162981,-0.00671854201515457,0,0,0,0.0470288707068899,4.39178954042625E-06,-2.65874628862722E-12,3.09228391040839E-11,3.29793928552958E-05,8.44203479212438E-08,3.37748134686874E-05,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/Left_Camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Open_Source_Assembly/meshes/Left_Camera.STL,,camera_mount-3/LogitechC920Montaj-1/Logitech_C920-1,Left_Camera_Coordinate,,Left_Camera_Joint,fixed,-0.031532,0.1997,-0.3275,-3.1416,0,-3.1416,base_link,0,0,0,,,,,,,,,,,,
